[Node list of texts and gods attested in them. This data was used for creating networks with full texts.]
Text	God
cams-gkab/P363473	Ea
cams-gkab/P363487	Nergal
cams-gkab/P363487	Anu
cams-gkab/P363487	Ziqiqu
cams-gkab/P363487	Ea
cams-gkab/P363487	Belet-ili
cams-gkab/P363507	Asalluhi
cams-gkab/P363507	Marduk
cams-gkab/P363507	Enlil
cams-gkab/P363507	Enki
cams-gkab/P363507	Ea
cams-gkab/P363508	Damu
cams-gkab/P363508	Nintinuga
cams-gkab/P363508	Gula
cams-gkab/P363508	Asalluhi
cams-gkab/P363508	Marduk
cams-gkab/P363508	Utu
cams-gkab/P363508	Šamaš
cams-gkab/P363509	Enki
cams-gkab/P363509	Ea
cams-gkab/P363509	Damgalnunak
cams-gkab/P363509	Damkina
cams-gkab/P363509	Asaralimnuna
cams-gkab/P363509	Marduk
cams-gkab/P363509	Erra
cams-gkab/P363509	Šulak
cams-gkab/P363509	Enlil
cams-gkab/P363509	Sin
cams-gkab/P363509	Šamaš
